时间	Default1	Default2	Default3	Default4	Default5	Default6	Default7	Default8	TC1控制温度	TC1实际温度	TC1实际输出电压	TC1实际输出电流	TC1实际输出功率	TC2控制温度	TC2实际温度	TC2实际输出电压	TC2实际输出电流	TC2实际输出功率	压力(电压值)	压力(g)	步进电机当前位置	温度	湿度	LD设定温度(度)	LD实际温度(度)	LD设定温度(脉冲值)	LD实际温度(脉冲值)	LD PWM(功率)
45995.8186412037	0	26.295	26.295	0	0	0	0	0	0	30.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8186875	0	26.315	26.315	0	0	0	0	0	0	30.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8197650463	0	26.505	26.505	0	0	0	0	0	0	30.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8198287037	0	26.515	26.515	0	0	0	0	0	0	30.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.82115625	0	26.605	26.605	0	0	0	0	0	0	30.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8212025463	0	26.665	26.665	0	0	0	0	0	0	30.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8215462963	0	26.615	26.615	0	0	0	0	0	0	30.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8225	0	26.58	26.58	0	0	0	0	0	0	31.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.82309375	0	26.52	26.52	0	0	0	0	0	0	31.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8231400463	0	26.56	26.56	0	0	0	0	0	0	31.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.82384375	0	26.555	26.555	0	0	0	0	0	0	31.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8238900463	0	26.485	26.485	0	0	0	0	0	0	31.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8241412037	0	26.725	26.725	0	0	0	0	0	0	31.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8241875	0	26.71	26.71	0	0	0	0	0	0	31.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8245474537	0	26.74	26.74	0	0	0	0	0	0	31.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8248275463	0	26.68	26.68	0	0	0	0	0	0	31.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8248912037	0	26.665	26.665	0	0	0	0	0	0	31.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.82553125	0	26.735	26.735	0	0	0	0	0	0	31.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8257650463	0	26.71	26.71	0	0	0	0	0	0	31.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.826125	0	26.535	26.535	0	0	0	0	0	0	31.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.82646875	0	26.71	26.71	0	0	0	0	0	0	31.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8270162037	0	26.55	26.55	0	0	0	0	0	0	31.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8270625	0	26.655	26.655	0	0	0	0	0	0	31.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.82815625	0	26.66	26.66	0	0	0	0	0	0	31.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8291099537	0	26.59	26.59	0	0	0	0	0	0	31.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8295	0	26.675	26.675	0	0	0	0	0	0	31.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8295462963	0	26.72	26.72	0	0	0	0	0	0	31.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.82984375	0	26.775	26.775	0	0	0	0	0	0	31.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.83053125	0	26.535	26.535	0	0	0	0	0	0	31.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8312349537	0	26.7	26.7	0	0	0	0	0	0	31.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.83203125	0	26.595	26.595	0	0	0	0	0	0	31.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8320775463	0	26.635	26.635	0	0	0	0	0	0	31.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.832375	0	26.68	26.68	0	0	0	0	0	0	31.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8324212963	0	26.645	26.645	0	0	0	0	0	0	31.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8328287037	0	26.655	26.655	0	0	0	0	0	0	31.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8331712963	0	26.71	26.71	0	0	0	0	0	0	31.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8334224537	0	26.55	26.55	0	0	0	0	0	0	31.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.83346875	0	26.635	26.635	0	0	0	0	0	0	31.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8341724537	0	26.61	26.61	0	0	0	0	0	0	31.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.83421875	0	26.54	26.54	0	0	0	0	0	0	31.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8345625	0	26.535	26.535	0	0	0	0	0	0	31.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.83525	0	26.59	26.59	0	0	0	0	0	0	31.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.836	0	26.65	26.65	0	0	0	0	0	0	31.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8365462963	0	26.595	26.595	0	0	0	0	0	0	31.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8366099537	0	26.65	26.65	0	0	0	0	0	0	31.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.83684375	0	26.675	26.675	0	0	0	0	0	0	31.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8374375	0	26.7	26.7	0	0	0	0	0	0	31.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8374837963	0	26.68	26.68	0	0	0	0	0	0	31.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8378275463	0	26.72	26.72	0	0	0	0	0	0	31.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8378912037	0	26.79	26.79	0	0	0	0	0	0	31.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8384849537	0	26.655	26.655	0	0	0	0	0	0	31.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8387650463	0	26.685	26.685	0	0	0	0	0	0	31.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.83971875	0	26.77	26.77	0	0	0	0	0	0	31.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.84046875	0	26.825	26.825	0	0	0	0	0	0	31.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8408587963	0	26.75	26.75	0	0	0	0	0	0	31.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8409224537	0	26.665	26.665	0	0	0	0	0	0	31.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8415625	0	26.67	26.67	0	0	0	0	0	0	31.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8417962963	0	26.63	26.63	0	0	0	0	0	0	31.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8418599537	0	26.68	26.68	0	0	0	0	0	0	31.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8426875	0	26.61	26.61	0	0	0	0	0	0	31.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8430474537	0	26.53	26.53	0	0	0	0	0	0	31.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8437337963	0	26.475	26.475	0	0	0	0	0	0	31.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8437974537	0	26.51	26.51	0	0	0	0	0	0	31.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8441875	0	26.435	26.435	0	0	0	0	0	0	31.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8442337963	0	26.635	26.635	0	0	0	0	0	0	31.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8445775463	0	26.62	26.62	0	0	0	0	0	0	31.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.84528125	0	26.59	26.59	0	0	0	0	0	0	31.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.845625	0	26.605	26.605	0	0	0	0	0	0	31.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.84596875	0	26.485	26.485	0	0	0	0	0	0	31.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8460150463	0	26.505	26.505	0	0	0	0	0	0	31.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8463587963	0	26.775	26.775	0	0	0	0	0	0	31.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8473599537	0	26.735	26.735	0	0	0	0	0	0	31.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.84740625	0	26.775	26.775	0	0	0	0	0	0	31.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.84775	0	26.735	26.735	0	0	0	0	0	0	31.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8490474537	0	26.715	26.715	0	0	0	0	0	0	31.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.84909375	0	26.68	26.68	0	0	0	0	0	0	31.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8493912037	0	26.725	26.725	0	0	0	0	0	0	31.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8494375	0	26.66	26.66	0	0	0	0	0	0	31.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.84978125	0	26.725	26.725	0	0	0	0	0	0	31.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.850875	0	26.68	26.68	0	0	0	0	0	0	31.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.85121875	0	26.63	26.63	0	0	0	0	0	0	31.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8518587963	0	26.73	26.73	0	0	0	0	0	0	31.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8519224537	0	26.64	26.64	0	0	0	0	0	0	31.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.85215625	0	26.575	26.575	0	0	0	0	0	0	31.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8540162037	0	26.75	26.75	0	0	0	0	0	0	31.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8540625	0	26.64	26.64	0	0	0	0	0	0	31.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8543599537	0	26.76	26.76	0	0	0	0	0	0	31.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8547025463	0	26.64	26.64	0	0	0	0	0	0	31.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8555462963	0	26.52	26.52	0	0	0	0	0	0	31.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8557974537	0	26.645	26.645	0	0	0	0	0	0	31.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.85584375	0	26.6	26.6	0	0	0	0	0	0	31.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8561412037	0	26.665	26.665	0	0	0	0	0	0	31.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8561875	0	26.65	26.65	0	0	0	0	0	0	31.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8564837963	0	26.73	26.73	0	0	0	0	0	0	31.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8568900463	0	26.525	26.525	0	0	0	0	0	0	31.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8581712963	0	26.595	26.595	0	0	0	0	0	0	31.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8582349537	0	26.5	26.5	0	0	0	0	0	0	31.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.85853125	0	26.57	26.57	0	0	0	0	0	0	31.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8590787037	0	26.555	26.555	0	0	0	0	0	0	31.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.859125	0	26.61	26.61	0	0	0	0	0	0	31.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8594224537	0	26.535	26.535	0	0	0	0	0	0	31.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.85946875	0	26.59	26.59	0	0	0	0	0	0	31.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8597650463	0	26.585	26.585	0	0	0	0	0	0	31.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8601724537	0	26.61	26.61	0	0	0	0	0	0	31.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.86096875	0	26.575	26.575	0	0	0	0	0	0	31.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8612650463	0	26.67	26.67	0	0	0	0	0	0	31.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8620625	0	26.455	26.455	0	0	0	0	0	0	31.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8623599537	0	26.275	26.275	0	0	0	0	0	0	31.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.86240625	0	26.41	26.41	0	0	0	0	0	0	31.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.86265625	0	26.58	26.58	0	0	0	0	0	0	31.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8627025463	0	26.59	26.59	0	0	0	0	0	0	31.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.863	0	26.515	26.515	0	0	0	0	0	0	31.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8630462963	0	26.455	26.455	0	0	0	0	0	0	31.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8631099537	0	26.575	26.575	0	0	0	0	0	0	31.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.86384375	0	26.685	26.685	0	0	0	0	0	0	31.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.86409375	0	26.645	26.645	0	0	0	0	0	0	31.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8643912037	0	26.59	26.59	0	0	0	0	0	0	31.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8644375	0	26.56	26.56	0	0	0	0	0	0	31.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8648275463	0	26.655	26.655	0	0	0	0	0	0	31.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8652349537	0	26.67	26.67	0	0	0	0	0	0	31.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.866375	0	26.58	26.58	0	0	0	0	0	0	31.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.86678125	0	26.57	26.57	0	0	0	0	0	0	31.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.8668275463	0	26.545	26.545	0	0	0	0	0	0	31.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.86753125	0	26.62	26.62	0	0	0	0	0	0	31.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45995.86846875	0	26.62	26.62	0	0	0	0	0	0	31.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
